week,show_type,title,ori_country,genre,release_date,is_NF_Ori,imdb_rating,rt_rating,country_chart,show_link,Continent,rel_yr,rel_mt,country_pop,trend_count
13,TV Show,Elite,Spain,Crime,10/5/2018,TRUE,76,97,BEL,https://flixpatrol.com/title/elite,EUR,2018,10,46754783,218
37,Movie,The Emoji Movie,United States of America,Animated,7/28/2017,FALSE,14,8,PAN,https://flixpatrol.com/title/the-emoji-movie,AME,2017,7,331002647,1808
37,TV Show,Her Mother's Killer,Colombia,Unknown,1/1/2020,FALSE,0,0,PAN,https://flixpatrol.com/title/her-mothers-killer,AME,2020,1,50882884,51
36,Movie,Santana,South Africa,Action,8/28/2020,FALSE,39,0,PAN,https://flixpatrol.com/title/santana,AME,2020,8,59308690,17
36,TV Show,Her Mother's Killer,Colombia,Unknown,1/1/2020,FALSE,0,0,PAN,https://flixpatrol.com/title/her-mothers-killer,AME,2020,1,50882884,51
35,Movie,The Sleepover,United States of America,Comedy,8/21/2020,TRUE,55,80,PAN,https://flixpatrol.com/title/the-sleepover,AME,2020,8,331002647,1808
35,TV Show,Lucifer,United States of America,Superhero,1/25/2016,TRUE,83,87,PAN,https://flixpatrol.com/title/lucifer,AME,2016,1,331002647,1808
34,Movie,Project Power,United States of America,Action,8/14/2020,TRUE,61,63,PAN,https://flixpatrol.com/title/project-power,AME,2020,8,331002647,1808
34,TV Show,The Great Heist,Colombia,Unknown,8/14/2020,FALSE,0,0,PAN,https://flixpatrol.com/title/the-great-heist,AME,2020,8,50882884,51
33,Movie,Work It,United States of America,Comedy,8/7/2020,TRUE,61,0,PAN,https://flixpatrol.com/title/work-it-2020,AME,2020,8,331002647,1808
33,TV Show,The Seven Deadly Sins,Japan,Animation,10/5/2014,TRUE,82,0,PAN,https://flixpatrol.com/title/the-seven-deadly-sins,AME,2014,10,126476458,25
32,Movie,Wonder,United States of America,Drama,11/13/2017,FALSE,80,93,PAN,https://flixpatrol.com/title/wonder,AME,2017,11,331002647,1808
32,TV Show,Locked Up,Spain,Drama,4/20/2015,TRUE,83,100,PAN,https://flixpatrol.com/title/locked-up,AME,2015,4,46754783,218
31,Movie,The Kissing Booth 2,United Kingdom,Romance,7/24/2020,TRUE,62,28,PAN,https://flixpatrol.com/title/the-kissing-booth-2,AME,2020,7,67886004,150
31,TV Show,Dark Desire,Mexico,Drama,7/15/2020,TRUE,75,0,PAN,https://flixpatrol.com/title/dark-desire,AME,2020,7,128932753,85
30,Movie,MILF,France,Comedy,5/2/2018,FALSE,0,14,PAN,https://flixpatrol.com/title/milf-2018,AME,2018,5,65273512,50
30,TV Show,Dark Desire,Mexico,Drama,7/15/2020,TRUE,75,0,PAN,https://flixpatrol.com/title/dark-desire,AME,2020,7,128932753,85
29,Movie,The Old Guard,United States of America,Superhero,7/10/2020,TRUE,82,80,PAN,https://flixpatrol.com/title/the-old-guard,AME,2020,7,331002647,1808
29,TV Show,Dark Desire,Mexico,Drama,7/15/2020,TRUE,75,0,PAN,https://flixpatrol.com/title/dark-desire,AME,2020,7,128932753,85
28,Movie,American Assassin,United States of America,Action,9/14/2017,FALSE,70,35,PAN,https://flixpatrol.com/title/american-assassin,AME,2017,9,331002647,1808
28,TV Show,Dark,Germany,Mystery,12/1/2017,TRUE,87,94,PAN,https://flixpatrol.com/title/dark-2017,AME,2017,12,83783945,84
27,Movie,Baby Driver,United States of America,Action,6/28/2017,FALSE,78,92,PAN,https://flixpatrol.com/title/baby-driver,AME,2017,6,331002647,1808
27,TV Show,Dark,Germany,Mystery,12/1/2017,TRUE,87,94,PAN,https://flixpatrol.com/title/dark-2017,AME,2017,12,83783945,84
26,Movie,Wonder Woman,United States of America,Animated,3/3/2009,FALSE,74,0,PAN,https://flixpatrol.com/title/wonder-woman,AME,2009,3,331002647,1808
26,TV Show,Dark,Germany,Mystery,12/1/2017,TRUE,87,94,PAN,https://flixpatrol.com/title/dark-2017,AME,2017,12,83783945,84
37,Movie,A Million Ways to Die in the West,United States of America,Comedy,5/30/2014,FALSE,61,33,UKR,https://flixpatrol.com/title/a-million-ways-to-die-in-the-west,EUR,2014,5,331002647,1808
37,TV Show,Away,United States of America,Science Fiction,9/4/2020,TRUE,71,73,UKR,https://flixpatrol.com/title/away-2020,EUR,2020,9,331002647,1808
36,Movie,Project Power,United States of America,Action,8/14/2020,TRUE,61,63,UKR,https://flixpatrol.com/title/project-power,EUR,2020,8,331002647,1808
36,TV Show,Lucifer,United States of America,Superhero,1/25/2016,TRUE,83,87,UKR,https://flixpatrol.com/title/lucifer,EUR,2016,1,331002647,1808
35,Movie,Project Power,United States of America,Action,8/14/2020,TRUE,61,63,UKR,https://flixpatrol.com/title/project-power,EUR,2020,8,331002647,1808
35,TV Show,Lucifer,United States of America,Superhero,1/25/2016,TRUE,83,87,UKR,https://flixpatrol.com/title/lucifer,EUR,2016,1,331002647,1808
34,Movie,Project Power,United States of America,Action,8/14/2020,TRUE,61,63,UKR,https://flixpatrol.com/title/project-power,EUR,2020,8,331002647,1808
34,TV Show,The Umbrella Academy,United States of America,Superhero,2/15/2019,TRUE,83,82,UKR,https://flixpatrol.com/title/the-umbrella-academy,EUR,2019,2,331002647,1808
33,Movie,Work It,United States of America,Comedy,8/7/2020,TRUE,61,0,UKR,https://flixpatrol.com/title/work-it-2020,EUR,2020,8,331002647,1808
33,TV Show,The Umbrella Academy,United States of America,Superhero,2/15/2019,TRUE,83,82,UKR,https://flixpatrol.com/title/the-umbrella-academy,EUR,2019,2,331002647,1808
32,Movie,Mortal Engines,United States of America,Science Fiction,11/27/2018,FALSE,64,28,UKR,https://flixpatrol.com/title/mortal-engines,EUR,2018,11,331002647,1808
32,TV Show,The Umbrella Academy,United States of America,Superhero,2/15/2019,TRUE,83,82,UKR,https://flixpatrol.com/title/the-umbrella-academy,EUR,2019,2,331002647,1808
31,Movie,The Kissing Booth 2,United Kingdom,Romance,7/24/2020,TRUE,62,28,UKR,https://flixpatrol.com/title/the-kissing-booth-2,EUR,2020,7,67886004,150
31,TV Show,Cursed,United States of America,Fantasy,7/17/2020,TRUE,51,69,UKR,https://flixpatrol.com/title/cursed-2020,EUR,2020,7,331002647,1808
30,Movie,The Old Guard,United States of America,Superhero,7/10/2020,TRUE,82,80,UKR,https://flixpatrol.com/title/the-old-guard,EUR,2020,7,331002647,1808
30,TV Show,Cursed,United States of America,Fantasy,7/17/2020,TRUE,51,69,UKR,https://flixpatrol.com/title/cursed-2020,EUR,2020,7,331002647,1808
29,Movie,The Old Guard,United States of America,Superhero,7/10/2020,TRUE,82,80,UKR,https://flixpatrol.com/title/the-old-guard,EUR,2020,7,331002647,1808
29,TV Show,Snowpiercer,United States of America,Science Fiction,5/17/2020,TRUE,61,62,UKR,https://flixpatrol.com/title/snowpiercer-2020,EUR,2020,5,331002647,1808
28,Movie,Eurovision Song Contest: The Story of Fire Saga,United States of America,Comedy,6/26/2020,TRUE,78,63,UKR,https://flixpatrol.com/title/eurovision-song-contest-the-story-of-fire-saga,EUR,2020,6,331002647,1808
28,TV Show,Warrior Nun,United States of America,Fantasy,7/2/2020,TRUE,69,0,UKR,https://flixpatrol.com/title/warrior-nun,EUR,2020,7,331002647,1808
27,Movie,Eurovision Song Contest: The Story of Fire Saga,United States of America,Comedy,6/26/2020,TRUE,78,63,UKR,https://flixpatrol.com/title/eurovision-song-contest-the-story-of-fire-saga,EUR,2020,6,331002647,1808
